(100, 100)
(115, 100)
(115, 115)
(130, 115)
(130, 100)
(145, 100)
(145, 115)
(160, 115)
(160, 100)
(175, 100)
(175, 115)
(190, 115)
(190, 100)
(205, 100)
(205, 115)
(220, 115)
(220, 100)
(235, 100)
(235, 115)
(250, 115)
(250, 100)
(265, 100)
(265, 115)
(280, 115)
(280, 100)
(295, 100)
(295, 115)
(310, 115)
(310, 100)
(325, 100)
(325, 115)
(340, 115)
(340, 100)
(355, 100)
(355, 115)
(370, 115)
(370, 100)
(385, 100)
(385, 115)
(400, 115)
(400, 100)
(415, 100)
(415, 115)
(430, 115)
(430, 100)
(445, 100)
(445, 115)
(460, 115)
(460, 100)
(475, 100)
(475, 115)
(490, 115)
(490, 100)
(505, 100)
(505, 115)
(520, 115)
(520, 100)
(535, 100)
(535, 115)
(550, 115)
(550, 100)
(565, 100)
(565, 115)
(580, 115)
(580, 100)
(595, 100)
(595, 115)
(610, 115)
(610, 100)
(625, 100)
(625, 115)
(640, 115)
(640, 100)
(655, 100)
(655, 115)
(670, 115)
(670, 100)
(685, 100)
(685, 115)
(700, 115)
(700, 100)
(715, 100)
(715, 115)
(730, 115)
(730, 100)
(745, 100)
(745, 115)
(760, 115)
(760, 100)
(775, 100)
(775, 115)
(790, 115)
(790, 100)
(805, 100)
(805, 115)
(820, 115)
(820, 100)
(835, 100)
(835, 115)
(850, 115)
(850, 100)
(865, 100)
(865, 115)
(880, 115)
(880, 100)
(895, 100)
(895, 115)
(910, 115)
(910, 100)
(925, 100)
(925, 115)
(940, 115)
(940, 100)
(955, 100)
(955, 115)
(970, 115)
(970, 100)
(985, 100)
(985, 115)
(1000, 115)
(1000, 100)
(1015, 100)
(1015, 115)
(1030, 115)
(1030, 100)
(1045, 100)
(1045, 115)
(1060, 115)
(1060, 100)
(1075, 100)
(1075, 115)
(1090, 115)
(1090, 100)
(1105, 100)
(1105, 115)
(1120, 115)
(1120, 100)
(1135, 100)
(1135, 115)
(1150, 115)
(1150, 100)
(1165, 100)
(1165, 115)
(1180, 115)
(1180, 100)
(1195, 100)
(1195, 115)
(1210, 115)
(1210, 100)
(1225, 100)
(1225, 115)
(1240, 115)
(1240, 100)
(1255, 100)
(1255, 115)
(1270, 115)
(1270, 100)
(1285, 100)
(1285, 115)
(1300, 115)
(1300, 100)
(1315, 100)
(1315, 115)
(1330, 115)
(1330, 100)
(1345, 100)
(1345, 115)
(1360, 115)
(1360, 100)
(1375, 100)
(1375, 115)
(1390, 115)
(1390, 100)
(1405, 100)
(1405, 115)
(1420, 115)
(1420, 100)
(1435, 100)
(1435, 115)
