(749.85595703125, 420.06964111328125, 1042.114990234375, 603.0770874023438)
(747.5, 417.5, 1046.5, 598.5)
(747.0, 412.0, 1043.0, 598.0)
(749.5, 409.0, 1042.5, 599.0)
(747.5, 405.0, 1038.5, 599.0)
(747.0, 403.5, 1037.0, 600.5)
(749.0, 406.5, 1037.0, 603.5)
(748.0, 403.5, 1038.0, 602.5)
(746.5, 403.5, 1035.5, 604.5)
(747.5, 406.5, 1036.5, 607.5)
(749.5, 404.0, 1040.5, 604.0)
(750.0, 406.0, 1042.0, 606.0)
(749.0, 405.5, 1039.0, 604.5)
(748.5, 406.5, 1035.5, 605.5)
(750.5, 404.0, 1037.5, 606.0)
(750.5, 406.5, 1035.5, 607.5)
(749.5, 404.5, 1036.5, 605.5)
(747.5, 406.0, 1034.5, 606.0)
(745.0, 406.5, 1033.0, 605.5)
(745.5, 405.5, 1034.5, 604.5)
(743.5, 407.5, 1032.5, 606.5)
(742.5, 405.0, 1033.5, 603.0)
(743.5, 405.0, 1034.5, 603.0)
(742.0, 403.0, 1032.0, 603.0)
(744.5, 406.0, 1035.5, 604.0)
(744.5, 407.5, 1035.5, 604.5)
(744.0, 407.5, 1038.0, 604.5)
(745.0, 404.5, 1037.0, 603.5)
(744.5, 402.0, 1037.5, 604.0)
(739.0, 398.5, 1033.0, 603.5)
(745.0, 400.5, 1037.0, 605.5)
(740.5, 398.0, 1035.5, 602.0)
(741.5, 398.5, 1034.5, 603.5)
(739.5, 393.5, 1032.5, 600.5)
(739.0, 400.0, 1031.0, 606.0)
(740.5, 395.0, 1033.5, 601.0)
(738.5, 397.0, 1031.5, 603.0)
(741.0, 396.5, 1033.0, 601.5)
(738.0, 394.0, 1032.0, 598.0)
(740.0, 401.0, 1034.0, 603.0)
(739.0, 395.5, 1033.0, 598.5)
(738.0, 399.5, 1032.0, 602.5)
(739.5, 397.0, 1030.5, 601.0)
(741.5, 398.5, 1030.5, 601.5)
(742.5, 397.5, 1031.5, 598.5)
(742.0, 401.5, 1030.0, 602.5)
(742.0, 399.0, 1030.0, 601.0)
(743.0, 397.5, 1033.0, 600.5)
(741.0, 402.0, 1033.0, 604.0)
