(750.2922, 407.61264, 1041.3239, 605.32916)
(750.24506, 408.93756, 1040.5577, 605.0115)
(750.7498, 408.64062, 1040.3225, 605.02075)
(751.05884, 407.73065, 1039.9852, 605.3602)
(750.5821, 406.3203, 1041.8687, 605.19464)
(750.90137, 403.5838, 1044.7695, 605.9516)
(747.9795, 406.10922, 1044.8723, 604.7457)
(750.81866, 404.13065, 1044.0552, 606.26166)
(748.68994, 406.50143, 1042.5197, 604.84375)
(750.85504, 404.33698, 1039.5408, 605.90485)
(750.61786, 403.9565, 1039.3064, 605.4505)
(751.00757, 404.30716, 1039.7623, 605.3238)
(750.7575, 404.40054, 1041.5461, 605.15045)
(750.58356, 404.20273, 1043.131, 605.6919)
(748.85425, 405.95798, 1043.8497, 605.56464)
(748.0695, 405.58484, 1044.4568, 605.8577)
(748.6629, 405.76413, 1044.7101, 606.52826)
(747.4797, 405.11438, 1044.455, 606.2891)
(746.70105, 404.8827, 1044.139, 606.77747)
(744.6392, 404.17697, 1044.8129, 607.045)
(743.9725, 404.2463, 1045.1088, 606.9033)
(743.08606, 404.40747, 1044.2954, 606.58307)
(742.75696, 404.9847, 1045.9948, 606.94556)
(742.83685, 405.62283, 1046.3934, 606.355)
(742.5396, 405.7183, 1045.9591, 607.04913)
(743.2686, 405.6907, 1044.8071, 607.2568)
(742.42426, 405.61032, 1043.4148, 608.47595)
(741.6904, 405.52563, 1042.3505, 610.8455)
(740.5947, 405.71783, 1041.6318, 608.50494)
(740.615, 405.48544, 1041.4506, 603.11316)
(741.4832, 406.9888, 1037.7323, 600.1983)
(740.3608, 405.58997, 1038.2849, 598.38696)
(740.3945, 406.0156, 1040.2522, 597.33997)
(739.7013, 407.15884, 1041.1935, 597.1248)
(738.84845, 407.28427, 1041.3435, 596.90875)
(737.7339, 406.0044, 1040.6783, 597.7095)
(736.9121, 406.53555, 1040.1622, 597.4857)
(738.0496, 406.99847, 1039.9937, 597.74225)
(737.72314, 407.4983, 1041.1041, 597.1668)
(737.3809, 408.1899, 1040.2924, 596.81396)
(736.4495, 405.73758, 1039.0022, 597.08966)
(735.37054, 406.35675, 1038.6227, 595.5645)
